gene,rna_pearson_r,rna_spearman_r,rna_n_obs,protein_pearson_r,protein_spearman_r,protein_n_obs,group
DNM1L,0.3803156257005339,0.2660398459443707,979,0.17731936084736266,0.10808701277456147,775,non-significant
DNM2,0.28113456658546726,0.2252699365914604,979,,,0,non-significant
DNMT3A,0.06426608032443318,0.06049838465203148,979,,,0,non-significant
DNMT3B,0.10025746536072358,0.09570282667285364,979,,,0,non-significant
DOCK7,0.2519621359924868,0.21745359543527698,979,0.13679638120227733,0.14106386352562963,704,non-significant
DOCK8,-0.0477611971299525,-0.04498161181718132,979,-0.04711931295294736,-0.06201886724183686,266,non-significant
DOCK9,0.26900457745838596,0.31832034272565807,979,0.008522013965246638,0.03531794443444437,617,non-significant
DOK1,-0.09743582488392846,-0.10544795508112924,979,-0.07299391574319611,-0.0977516136571814,150,non-significant
DOK2,0.08230627202592813,0.11757272725363543,979,,,0,non-significant
DOK3,-0.14873903853881376,-0.09389203884311001,979,-0.1976453936089502,-0.2327786544993604,267,non-significant
DPF2,0.2376085504210408,0.1860799721735867,979,,,0,non-significant
DPH2,0.32705081485660537,0.2597658901248784,979,0.028377461278206995,0.018685158165479193,473,non-significant
DPM1,0.5636851411403634,0.5656674545693426,979,0.25055913632005505,0.2790324213860607,762,non-significant
DPP7,0.09163805840182372,0.03320914766382966,979,,,0,non-significant
DPP8,0.24503003794395029,0.22914325778679076,979,,,0,non-significant
DPP9,0.2741270619550997,0.2522878648981791,979,0.12994377690183206,0.14197193343496514,459,non-significant
DPY19L3,0.26146545511500147,0.1548712613583389,979,,,0,non-significant
DPY19L4,0.4311680535678466,0.4172009238388089,979,,,0,non-significant
DR1,0.3574266639735887,0.24361469944888667,979,,,0,non-significant
DRAM1,0.08538605173963203,0.08712302468154846,979,,,0,non-significant
