paralog_gene,dep_gene,cell_line,delta_z,source
PIK3R6,PIK3R5,cd4t_rest,3.348741888999939,nonsig
KISS1R,OPRM1,cd4t_rest,2.0790700502693653,nonsig
SGMS2,SGMS1,cd4t_rest,2.0630817860364914,nonsig
LAMC3,LAMB1,cd4t_rest,2.3189353570342064,nonsig
UCK2,UCK1,cd4t_rest,2.086117535829544,nonsig
GIPR,VIPR2,cd4t_rest,2.2737090066075325,nonsig
UBA3,UBA2,cd4t_rest,2.647881019162014,nonsig
CALML6,CABP5,cd4t_rest,2.3031448796391487,nonsig
CHAT,CPT1A,cd4t_rest,3.667973261326551,nonsig
SUDS3,BRMS1,cd4t_rest,2.2797364182770252,nonsig
SNTB2,SNTA1,cd4t_rest,3.1208901181817055,nonsig
DDX19B,DDX1,cd4t_rest,2.8560692014871165,nonsig
SLC17A3,SLC17A5,cd4t_rest,2.2569334134459496,nonsig
LRP4,LRP1,cd4t_rest,3.2431987449526787,nonsig
PPIH,PPIL4,cd4t_rest,3.400858573615551,nonsig
PPIAL4G,PPIL4,cd4t_rest,2.862744376063347,nonsig
TIA1,TIAL1,cd4t_rest,2.360776513814926,nonsig
TRNAU1AP,TIAL1,cd4t_rest,4.064263314008713,nonsig
TIGD5,TIGD6,cd4t_rest,2.1653831601142883,nonsig
TIGD2,TIGD6,cd4t_rest,2.4297032430768013,nonsig
DDX19A,DDX1,cd4t_rest,2.3421688824892044,nonsig
CSF1R,KIT,cd4t_rest,3.6902840360999103,nonsig
SLC16A9,SLC16A1,cd4t_rest,4.0407774448394775,nonsig
ADCY3,ADCY4,cd4t_rest,2.267359510064125,nonsig
RFPL4A,RFPL2,cd4t_rest,3.4763633236289024,nonsig
MAP1LC3A,GABARAP,cd4t_rest,2.4884063154459,nonsig
MTF2,PHF19,cd4t_rest,2.8293951377272606,nonsig
UBE2R2,UBE2H,cd4t_rest,2.8310017324984074,nonsig
GPR87,PTAFR,cd4t_rest,3.369706340134144,nonsig
P2RY14,PTAFR,cd4t_rest,2.4271491169929504,nonsig
AARS1,AARS2,cd4t_rest,3.650349583476782,nonsig
TPPP3,TPPP,cd4t_rest,3.3005341589450836,nonsig
MAP4K5,MAP4K2,cd4t_rest,2.0242701582610607,nonsig
TBL1XR1,TBL1X,cd4t_rest,2.6486222594976425,nonsig
TBL1X,TBL1XR1,cd4t_rest,6.399390663602389,nonsig
ADAM30,ADAM23,cd4t_rest,2.885337235406041,nonsig
CDC42BPG,CIT,cd4t_rest,2.4854636639356613,nonsig
RGS17,RGS3,cd4t_rest,2.9577773362398148,nonsig
ACSL3,ACSL6,cd4t_rest,4.443411238491535,nonsig
GSTM3,GSTA4,cd4t_rest,2.14609694480896,nonsig
RRAGD,RRAGA,cd4t_rest,2.49185823649168,nonsig
RRAGD,RRAGC,cd4t_rest,2.588050596415997,nonsig
