paralog_gene,mean_dz,max_dz,n_pairs
ADGRG1,0.8671324426929156,1.7592191100120544,3
ZNF711,0.8657428515955118,3.603982836008072,8
CHIC2,0.8651158374656612,1.5603209887631238,3
CARMIL1,0.8638748956921821,1.2560676936991513,3
EFNB1,0.8611327446997166,1.3065396845340729,6
CDKN2B,0.8601285293698311,1.4262563660740852,3
AGA,0.8597359644869963,1.8816769532859323,6
GPR137,0.8540865474690994,1.5067498814314604,3
ZNF285,0.8536001419027647,1.5936794951558113,3
STAT2,0.8530728325976031,7.855830701999366,20
UBASH3B,0.8520787879824638,1.205334648489952,3
CNOT2,0.8513167618446559,1.897032210795602,3
CALB2,0.8506553173065186,0.8506553173065186,1
HS3ST6,0.8501677457243204,11.47373141720891,12
IQGAP3,0.8500094582947592,4.0525237382389605,6
ADAMTSL4,0.8493165212372938,3.0282636620104313,3
ZFY,0.8482646805544695,1.7915107607841492,6
NID1,0.8468607248117527,1.7026179358363152,3
CALR,0.846688012343893,2.0792930349707603,4
CUX1,0.8463816762911172,1.932425024919212,4
DEF6,0.8438696681211392,1.3845957219600675,3
CTBP2,0.8436769139435556,2.13460124284029,9
CYP3A4,0.8421685236195723,2.7485596891492605,3
POLI,0.8399732364729667,1.0167258940637112,3
ACTA1,0.8397944186710649,5.069344222545624,9
IFRD1,0.8388518334078017,1.482184715569019,4
SS18L2,0.838692455093456,2.5510578006505966,8
PDE8B,0.8372985360523065,2.8199228197336197,12
