dep_gene,paralog_gene,mean_identical_score,delta_z,group,rank,rank_pct
OXSR1,PAK2,22.8356,0.266977447279506,Non-significant background,235,2.4234299267814787
SEPTIN2,SEPTIN8,34.6094,0.2655694028887496,Non-significant background,236,2.433742394555017
ZDHHC3,ZDHHC18,20.13415,0.2655440224319361,Non-significant background,237,2.444054862328555
DDX5,DDX17,64.0587,0.2644689940213391,Aneuploidy vulnerability,238,2.4543673301020936
SAFB,SLTM,33.4365,0.2636213102757171,Non-significant background,239,2.4646797978756316
WWP2,ITCH,55.89035,0.2634087426274762,Non-significant background,240,2.4749922656491696
TFAM,HMGB1,21.7905,0.2633047922770592,Non-significant background,241,2.485304733422708
ATP6V0A1,ATP6V0A2,53.99385,0.2632735473859774,Non-significant background,242,2.495617201196246
DHX38,DHX34,21.0391,0.2626127243840326,Non-significant background,243,2.5059296689697845
ETV4,FEV,20.68375,0.2624339565487467,Non-significant background,244,2.5162421367433225
GALNT7,GALNT5,25.34185,0.2624087592596825,Non-significant background,245,2.526554604516861
PSMA1,PSMA4,26.33625,0.2617147160462416,Non-significant background,246,2.536867072290399
OXSR1,STK39,73.15495,0.2616149913507681,Non-significant background,247,2.5471795400639374
ECI2,DBI,25.95978,0.2615809304028081,Non-significant background,248,2.5574920078374754
LUC7L2,LUC7L,73.9748,0.260212642273793,Non-significant background,249,2.567804475611014
COPA,COPB2,23.62515,0.2602088748666263,Non-significant background,250,2.578116943384552
ZNF276,ZNF692,22.57705,0.2599753328455755,Non-significant background,251,2.5884294111580903
LIN28B,YBX1,29.40865,0.2596781486885012,Non-significant background,252,2.5987418789316283
CDR2L,CDR2,42.87885,0.2595441735603943,Non-significant background,253,2.6090543467051663
TGFBR1,AMHR2,23.89295,0.2592124503956854,Non-significant background,254,2.619366814478705
CTSZ,CTSB,21.87565,0.2589750933262139,Non-significant background,255,2.629679282252243
STAT6,STAT5A,35.2592,0.2580727002899357,Non-significant background,256,2.6399917500257812
PHF20L1,PHF20,33.80995,0.2563680744409172,Non-significant background,257,2.6503042177993192
UBA52,ISG15,20.80965,0.256241222034491,Non-significant background,258,2.6606166855728577
HELLS,CHD3,21.0818,0.2559771921735408,Non-significant background,259,2.6709291533463957
AKAP8L,AKAP8,32.6245,0.2559414254707552,Non-significant background,260,2.681241621119934
NME4,NME2,49.49515,0.2557880014792644,Non-significant background,261,2.691554088893472
KDM1A,KDM1B,27.23605,0.2553745394955691,Non-significant background,262,2.7018665566670106
PRKAR1A,PRKAR2B,36.37335,0.2551782439787211,Non-significant background,263,2.7121790244405486
ZMYM4,ZMYM3,33.2285,0.2533272737179212,Non-significant background,264,2.722491492214087
BRMS1,SUDS3,22.76425,0.253077426255105,Non-significant background,265,2.732803959987625
BPNT1,INPP1,24.738,0.2527905338233124,Non-significant background,266,2.743116427761163
NEDD8,UBC,30.37218,0.2527267426933569,Non-significant background,267,2.7534288955347015
CLIC2,CLIC1,59.0253,0.2525966440496616,Non-significant background,268,2.7637413633082395
PPP2R1B,PPP4R1,21.46055,0.2521332291811087,Non-significant background,269,2.774053831081778
MICA,FCGRT,21.56915,0.2519393770506508,Non-significant background,270,2.784366298855316
PSMD1,PSMD2,20.216,0.2513424281753016,Non-significant background,271,2.7946787666288544
UBA52,NEDD8,45.3559,0.2510903037945704,Non-significant background,272,2.8049912344023924
RARA,NR1D2,25.10095,0.2507359549473836,Non-significant background,273,2.815303702175931
PTPN11,PTPRF,20.007075,0.2500775125148332,Non-significant background,274,2.825616169949469
SETD1A,SETD1B,35.95335,0.2494672745859445,Non-significant background,275,2.8359286377230073
ZNF84,ZNF574,23.2282,0.2493704251439557,Non-significant background,276,2.8462411054965453
GDI2,CHM,22.1047,0.2490998029704385,Non-significant background,277,2.8565535732700837
JAK1,TYK2,45.2888,0.2490589268470126,Non-significant background,278,2.8668660410436217
SRSF7,SRSF9,32.2883,0.2487999240993972,Non-significant background,279,2.8771785088171598
PPIH,PPIG,31.7407,0.2480822815149987,Non-significant background,280,2.887490976590698
WDTC1,DCAF8,23.01065,0.2479209955068281,Non-significant background,281,2.897803444364236
PSMB6,PSMB4,22.72015,0.247476837650025,Non-significant background,282,2.9081159121377747
ACVR2B,ACVR1B,29.30325,0.2474012955059058,Non-significant background,283,2.9184283799113127
YWHAG,YWHAH,86.8158,0.2459136315398555,Non-significant background,284,2.928740847684851
DYRK2,CLK2,20.72365,0.2457959993500185,Non-significant background,285,2.939053315458389
PDLIM4,PDLIM7,21.1349,0.2454315954107894,Non-significant background,286,2.9493657832319276
HOXC8,HOXC10,20.463,0.2453479603218495,Non-significant background,287,2.9596782510054656
DNAJB4,DNAJB12,24.78975,0.2446177731017429,Non-significant background,288,2.969990718779004
SLC35A4,SLC35A3,24.3452,0.2443140635958427,Non-significant background,289,2.980303186552542
CNIH4,CNIH1,36.05365,0.2442213922459557,Non-significant background,290,2.99061565432608
VPS4A,KATNA1,33.30245,0.2440523370654664,Non-significant background,291,3.0009281220996185
NME4,NME6,23.0565,0.2440354697243609,Non-significant background,292,3.0112405898731565
UTP23,FCF1,20.8531,0.2438544618370472,Non-significant background,293,3.021553057646695
PSMA3,PSMA6,29.15115,0.2438161617110062,Non-significant background,294,3.031865525420233
TMED2,TMED3,30.1878,0.2434669143995285,Non-significant background,295,3.0421779931937714
PRELID3B,PRELID2,23.7696,0.2434145719673122,Non-significant background,296,3.0524904609673094
HAND2,TCF15,21.19355,0.2432399026405774,Non-significant background,297,3.062802928740848
DCK,DGUOK,46.2288,0.2425151774749225,Non-significant background,298,3.073115396514386
EIF4A1,DDX55,21.47455,0.2423412073518768,Non-significant background,299,3.0834278642879243
IRF2BP1,IRF2BP2,37.40415,0.2419719519294374,Non-significant background,300,3.0937403320614623
VKORC1,VKORC1L1,44.9038,0.2419274007297582,Non-significant background,301,3.1040527998350007
