,cluster_id
GTF2A1L,-1
TECPR1,382
MAN2C1,346
ZSCAN22,350
ZNF876P,-1
NEO1,-1
JUNB,-1
UNCX,-1
ZC3H12A,-1
ACTN1,292
ACSF3,260
ARMC10,358
CDS1,-1
PCGF1,592
LIN7B,-1
PDHB,83
ZNF544,469
DALRD3,154
CAMK2N2,-1
BID,-1
SYVN1,-1
HK1,202
H2BK1,210
RINL,266
UBN1,504
SMIM13,-1
PCGF6,452
C2orf69,-1
ZNF462,-1
DSCC1,-1
ZDHHC11,-1
KAT2B,149
RDH11,-1
SAMD1,525
GNB2,-1
CHSY1,588
ESRRA,-1
CCNYL2,-1
CD24,600
STARD3,-1
ZNF428,-1
ZNF695,522
LRFN4,600
BTBD18,-1
CCN3,504
KDM7A,-1
TLK1,203
ZFPL1,268
CIRBP,-1
ANKRD10,151
CCDC8,567
URGCP,158
TOR4A,264
PKD1,-1
NUDT4B,315
PLAAT3,85
BCAP31,-1
TCP10L,-1
SH2D5,-1
TBX1,-1
OTUD6B,358
NRSN2,571
NCOA5,-1
ETS1,421
CRIM1,-1
L3MBTL3,-1
ZNF543,-1
TDRD10,-1
OVOL3,-1
ABHD4,-1
GSX1,628
PHF12,-1
UBE2O,371
FAM110C,278
RFK,-1
FBXO2,-1
ABHD17C,183
CDH1,-1
ZNF71,-1
CERK,406
ARFRP1,358
MIER1,318
SPTAN1,-1
PAFAH1B2,-1
ARPP19,-1
B4GAT1,-1
CSDE1,275
QPCTL,628
SHANK3,154
RENBP,-1
BLCAP,-1
COMMD5,-1
GFUS,249
DTX4,-1
ZHX1,-1
PABPC3,170
CSNK2B,-1
ZBTB46,287
TRIM24,-1
TRMT44,-1
NCDN,-1
TENM2,-1
NEIL2,48
ZSCAN5B,-1
ZNF212,-1
AXL,489
RARG,-1
DNASE2B,-1
COBL,-1
SHKBP1,562
PHF21A,-1
GABRD,-1
PBK,586
APOBEC3F,370
RB1CC1,-1
CYB5R1,339
TAGLN,-1
CUX1,578
TRNP1,328
LRRC3,435
PTOV1,-1
PAX1,349
ART5,-1
PDK1,346
NAPRT,-1
PLAU,-1
PRKCI,399
STX10,439
ZBTB7A,-1
SLTM,-1
RHPN1,-1
ADAMTS13,143
CHEK2,-1
H1-2,-1
UCKL1,335
CDK18,528
SP7,-1
ADAR,528
MAGED4B,-1
RNF14,-1
CHRAC1,-1
ZNF521,-1
INMT,-1
TCTA,551
AK3,-1
THEMIS2,259
CCDC28A,422
LRRN1,577
ABHD17A,-1
DPF1,-1
LRWD1,379
FUT1,-1
CCDC25,214
CPHXL2,276
REEP5,28
BEX4,-1
SCAMP5,-1
SERF1B,458
DTX1,566
H4C11,-1
DFFB,-1
LDHA,578
TSSK6,379
FOXA2,-1
DGKQ,-1
GSTP1,-1
MGA,-1
TGFB1I1,-1
SLC25A22,479
BEND6,-1
SNX19,275
CDCA7L,188
ARHGEF2,309
ATP1A2,32
ATG4D,95
FAM86B1,571
MRS2,474
FPGS,-1
BCL9L,-1
TDRD9,49
SLFN11,-1
ZNF607,-1
ZNF17,-1
GAL3ST4,531
ZNF594,590
UQCC4,266
JMJD4,-1
FXYD6,-1
MBOAT7,100
S100A16,-1
ZNF577,595
LRRC45,343
MC1R,-1
ATG9A,-1
CDS2,563
C4orf48,-1
ARPC1A,-1
NFAT5,406
NGFR,-1
ZNF76,-1
TCF7L1,-1
IFT57,92
SMAD6,-1
HSPA1B,-1
TRAFD1,356
ERCC6L2,-1
SFN,-1
RAB24,-1
ZNF343,164
ZNF764,-1
MDP1,-1
MRPL36,-1
E2F7,-1
NAT8L,442
AEBP1,-1
CKAP4,-1
DUS4L,330
MRM3,-1
DDX60,-1
CXXC4,-1
FXYD5,-1
H1-10,-1
ZBTB7B,-1
ZNF563,-1
ANKRD13B,-1
IVNS1ABP,249
ZNF709,469
CLEC11A,-1
GRIN3B,-1
ZNF528,220
ASCL4,501
TCTN3,29
AHRR,-1
ZNF648,-1
UBE3C,56
SSH3,275
CLPX,94
RWDD2A,338
GTPBP6,-1
GRK2,-1
OTUD4,446
RAB11FIP2,248
SOX21,505
MYO1B,51
VEGFA,526
TDRD5,102
TBX4,505
KDM2A,-1
IGSF3,-1
CSDC2,440
LSM1,-1
DNAJC14,-1
KCTD11,138
FIS1,-1
NDUFAF4,295
ZNF385C,-1
MAN2A2,278
PPP2R2D,-1
AGO2,203
FAM47E,166
CRK,-1
NEUROG2,350
PDGFA,446
RHOD,-1
SYNGR1,-1
FOXN2,-1
ERCC6,147
CALML4,-1
KLHDC8B,629
APMAP,-1
GLIS1,226
GFPT2,-1
PI4K2A,-1
PHF2,275
EID3,-1
REEP3,-1
ZNF141,239
CD7,-1
HOXB4,-1
CHST14,300
NKX2-5,538
THUMPD2,575
DDX3X,-1
MAFK,630
ANOS1,552
USP38,-1
THRAP3,-1
DNASE1L3,-1
DHX40,420
EVX1,487
TRIB1,467
RAI1,370
ABCA7,97
PLEKHA8,242
THNSL2,-1
KMT2E,-1
UBE2J1,-1
CREBBP,-1
RORC,597
BCL2L11,403
KDR,-1
EFCAB14,-1
RAD51AP1,-1
ZNF776,-1
PPP3R1,600
BSX,-1
HNRNPDL,338
LDAF1,451
GLI4,-1
TFDP3,-1
FAM221A,-1
HK2,420
PIP4P2,-1
GCSH,-1
H3-7,424
KLF14,-1
GOLGA4,-1
ZNF688,-1
SYNE4,454
GPBP1,-1
TSPAN33,595
PPP1R13L,-1
ATXN1L,-1
SETMAR,-1
PEX16,-1
SCRT2,-1
ELL3,-1
UNC13A,600
ZNF778,-1
LMNA,-1
OLIG1,70
ARID4A,-1
ARHGEF16,411
CCDC74A,-1
F11R,-1
CCDC102A,-1
EBPL,442
FAM50B,-1
ETFBKMT,-1
NPAS3,-1
TNIP2,-1
BTBD1,-1
SLC41A1,-1
EXOC3L1,602
ZNF404,-1
H3C3,555
LDLR,499
METTL25,-1
RTKN2,-1
VKORC1,-1
CD46,-1
UNC119B,322
PRDM13,359
TMEM198,117
ANHX,-1
JRKL,-1
SPNS1,443
PHF11,359
ZNF629,-1
ZNF609,481
MIOS,-1
HCFC2,-1
CMTM3,319
OAT,252
PHAF1,-1
MRI1,449
ECI1,-1
CDY1,-1
NHERF2,56
HMCES,-1
TLNRD1,-1
DYNLL1,306
ZSCAN23,-1
EEF1B2,-1
ALPL,-1
DIP2A,-1
SETD7,400
EHF,-1
CEP85,429
UBQLN2,-1
SLC2A8,613
CREBL2,-1
SLC38A5,107
RHBDF1,-1
SLC17A9,-1
NSMF,-1
CAMKV,272
BCAT2,-1
RAB5A,-1
BNIP2,542
CDC42EP2,-1
ZNF454,306
RPP25,-1
ZNF600,122
LARP4,-1
ZSCAN16,-1
SALL3,-1
CCN2,-1
BCORL1,-1
ZNF347,-1
NME3,-1
TSEN54,-1
GAA,171
ZKSCAN8,228
DHX36,-1
PGM2L1,117
SLC22A17,-1
ID4,-1
ZNF37A,210
FTSJ1,-1
SEMA6A,-1
AXIN2,353
NDUFA13,438
ATG2A,78
HNF4G,-1
